User ID,Username,Time Entry ID,Billable,Time Labels,Start,Start Text,Stop,Stop Text,Time Tracked,Time Tracked Text,Space ID,Space Name,Folder ID,Job Number,List ID,Task ID,Task Name,Task Status,Due Date,Due Date Text,Start Date,Start Date Text,Task Time Estimated,Task Time Estimated Text,Task Time Spent,Task Time Spent Text,User Total Time Estimated,User Total Time Estimated Text,User Total Time Tracked,User Total Time Tracked Text,Tags,Checklists,User Period Time Spent,User Period Time Spent Text,Date Created,Date Created Text,Custom Task ID,Parent Task ID,Booking Codes,DAYS WORKED,Team,DAYS LATE,Days Late,Deadline,ECO
48293477,John,3.18414E+18,FALSE,[],1.66558E+12,"10/12/2022, 2:45:42 PM BST",1.66559E+12,"10/12/2022, 3:45:42 PM BST",3600000,1 h ,38457801,JOBS,92676281,28680,170533087,258rh98,22555 BOM update,complete,1.65284E+12,"05/18/2022, 4:00:00 AM BST",1.65267E+12,"05/16/2022, 4:00:00 AM BST",10800000,3 h ,14400000,4 h ,264600000,73 h 30 m,547200000,152 h ,"[""mechanical""]",{},14400000,4 h ,1.64821E+12,"03/25/2022, 12:51:32 PM GMT",,,MECH-DESIGN,3,Mech,,,,
48293477,John,3.18415E+18,FALSE,[],1.66558E+12,"10/12/2022, 2:48:07 PM BST",1.66559E+12,"10/12/2022, 3:48:07 PM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2ghbfry,IT,open-ended,,,,,,,79200000,22 h ,264600000,73 h 30 m,547200000,152 h ,[],{},5400000,1 h 30 m,1.65537E+12,"06/16/2022, 10:28:45 AM BST",,,INDR-ITMT,1,Mech,,,,
48293477,John,3.18416E+18,FALSE,[],1.66558E+12,"10/12/2022, 2:57:00 PM BST",1.66559E+12,"10/12/2022, 3:57:00 PM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2p2re5v,Time Off,open-ended,,,,,,,111600000,31 h ,264600000,73 h 30 m,547200000,152 h ,[],{},3600000,1 h ,1.6596E+12,"08/04/2022, 9:36:30 AM BST",,,ABST-OTHR,1,Mech,,,,
48293477,John,3.18414E+18,FALSE,[],1.66558E+12,"10/12/2022, 3:11:58 PM BST",1.66559E+12,"10/12/2022, 3:41:58 PM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbg2u,Misc Meetings,open-ended,,,,,,,163800000,45 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},28800000,8 h ,1.65537E+12,"06/16/2022, 10:30:35 AM BST",,,INDR-MTNG,1,Mech,,,,
48293477,John,3.19417E+18,FALSE,[],1.66565E+12,"10/13/2022, 9:16:00 AM BST",1.66567E+12,"10/13/2022, 1:46:00 PM BST",16200000,4 h 30 m,44553575,JOBS - VALIDATION & TEST,98651611,29010,182423544,2dadk4k,Assembly Drawings,in progress,1.66848E+12,"11/15/2022, 3:00:00 AM GMT",1.66822E+12,"11/12/2022, 3:00:00 AM GMT",25200000,7 h ,99900000,27 h 45 m,264600000,73 h 30 m,547200000,152 h ,[],{},78300000,21 h 45 m,1.6539E+12,"05/30/2022, 9:47:41 AM BST",,,GA-INSTR,-8,Mech,,,,
48293477,John,3.19417E+18,FALSE,[],1.66566E+12,"10/13/2022, 12:44:00 PM BST",1.66567E+12,"10/13/2022, 1:44:00 PM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2h8bckp,House-Keeping,open-ended,,,,,,,27000000,7 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},7200000,2 h ,1.65582E+12,"06/21/2022, 2:12:29 PM BST",,,ENG-INDRCT,1,Mech,,,,
48293477,John,3.19417E+18,FALSE,[],1.66566E+12,"10/13/2022, 12:45:00 PM BST",1.66567E+12,"10/13/2022, 1:45:00 PM BST",3600000,1 h ,38457801,JOBS,104555832,30243,188490963,2kcrk9b,BOM Release,complete,1.66563E+12,"10/13/2022, 4:00:00 AM BST",,,7200000,2 h ,3600000,1 h ,264600000,73 h 30 m,547200000,152 h ,"[""mechanical""]","{""Checklist"":[""GA Creation""]}",3600000,1 h ,1.65755E+12,"07/11/2022, 2:43:23 PM BST",,,MECH-DESIGN,-20,Mech,,,,
48293477,John,3.19417E+18,FALSE,[],1.66566E+12,"10/13/2022, 1:11:00 PM BST",1.66566E+12,"10/13/2022, 1:41:00 PM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbg2u,Misc Meetings,open-ended,,,,,,,163800000,45 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},28800000,8 h ,1.65537E+12,"06/16/2022, 10:30:35 AM BST",,,INDR-MTNG,1,Mech,,,,
48293477,John,3.1855E+18,FALSE,[],1.66566E+12,"10/13/2022, 1:11:28 PM BST",1.66567E+12,"10/13/2022, 2:11:28 PM BST",3600000,1 h ,38457801,JOBS,104555832,30243,188490963,2kcrk99,CR-5661 Assy drawing update,complete,1.66563E+12,"10/13/2022, 4:00:00 AM BST",1.66554E+12,"10/12/2022, 4:00:00 AM BST",3600000,1 h ,3600000,1 h ,264600000,73 h 30 m,547200000,152 h ,[],{},3600000,1 h ,1.65755E+12,"07/11/2022, 2:43:23 PM BST",,,MECH-DESIGN,2,Mech,,,,
48293477,John,3.19417E+18,FALSE,[],1.66566E+12,"10/13/2022, 1:13:00 PM BST",1.66566E+12,"10/13/2022, 1:43:00 PM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbfry,IT,open-ended,,,,,,,79200000,22 h ,264600000,73 h 30 m,547200000,152 h ,[],{},5400000,1 h 30 m,1.65537E+12,"06/16/2022, 10:28:45 AM BST",,,INDR-ITMT,1,Mech,,,,
